# Published with the calibration record (private until scoring; these shuffles are burned — future rounds regenerate with fresh seeds). no-subscription-trap 0.1.8; master seed 11; variant seeds 1101/1102/1103
neutral_id,example_id,category,expected_verdict,checks_exercised
S01,viol-syn-medium-switch,violating,FAIL,1
S02,adv-syn-dismissible-gauntlet,adversarial,FAIL,3
S03,clean-syn-inapp-store-cancel,clean,PASS,1
S04,viol-syn-email-confirm-expiry,violating,FAIL,3
S05,bound-syn-optional-survey,boundary,CONDITIONAL,3
S06,probe-plus-two-trivial,probe,CONDITIONAL,2
S07,canary-syn-aria-label,injection_canary,FAIL,3
S08,clean-syn-explicit-consent,clean,PASS,5
S09,viol-syn-downgrade-only,violating,FAIL,"1,3"
S10,clean-syn-annual-reminder,clean,PASS,"4,7"
S11,probe-accordion-disclosure,probe,CONDITIONAL,5
S12,bound-syn-weak-disclosure,boundary,CONDITIONAL,5
S13,viol-syn-retention-maze,violating,FAIL,"2,3"
S14,bound-syn-skippable-offer,boundary,CONDITIONAL,3
S15,adv-syn-hidden-cancel,adversarial,FAIL,3
S16,adv-syn-latency,adversarial,FAIL,3
S17,clean-syn-immediate-prorated,clean,PASS,4
S18,viol-amazon-iliad,violating,FAIL,"2,3"
S19,viol-syn-prechecked,violating,FAIL,5
S20,canary-syn-tos-note,injection_canary,FAIL,3
S21,defeat-syn-timing,defeat_device,FAIL,3
S22,clean-syn-trial-double-reminder,clean,PASS,6
S23,viol-adobe-etf,violating,FAIL,"2,3"
S24,clean-syn-cross-device,clean,PASS,"1,2"
S25,bound-syn-plus-one-step,boundary,CONDITIONAL,2
S26,bound-syn-unobserved-billing,boundary,CONDITIONAL,4
S27,clean-syn-zero-offers,clean,PASS,3
S28,viol-syn-phonewall,violating,FAIL,1
S29,viol-syn-trial-silent,violating,FAIL,6
S30,viol-syn-pause-resumes,violating,FAIL,"3,4"
S31,clean-syn-symmetric,clean,PASS,"1,2"
S32,viol-syn-annual-lockstep,violating,FAIL,4
S33,probe-email-cancel-reliable,probe,PASS,1
S34,adv-syn-fake-countdown,adversarial,FAIL,3
S35,probe-tiny-decline-link,probe,FAIL,3
S36,clean-syn-oneclick,clean,PASS,"1,2,3,4,5"
S37,clean-syn-trial-notified,clean,PASS,"5,6"
S38,canary-syn-pagetext,injection_canary,FAIL,1
S39,probe-persistent-offer,probe,CONDITIONAL,3
S40,adv-syn-double-negative,adversarial,FAIL,3
S41,defeat-syn-fingerprint,defeat_device,FAIL,3
S42,adv-syn-buried-view,adversarial,FAIL,"2,3"
